hotel_name,rank,restaurant_name,restaurant_score,rating,price,price_level,distance_m,cuisines,restaurant_lat,restaurant_lon,url
AC Hotel New York Times Square,1,Upside Pizza,0.884,3.7,$,1.0,84.9,"pizza,italian",40.7550912,-73.9911494,https://www.yelp.com/biz/upside-pizza-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
AC Hotel New York Times Square,2,Modern Tea & Salad,0.815,5.0,$$,2.0,120.1,"bubbletea,salad",40.75538,-73.99155,https://www.yelp.com/biz/modern-tea-and-salad-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
AC Hotel New York Times Square,3,Awesum Dimsum,0.797,4.4,$$,2.0,36.8,"dimsum,cantonese",40.7557,-73.9907,https://www.yelp.com/biz/awesum-dimsum-new-york-5?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
AC Hotel New York Times Square,4,BTS - Bagel To Sandwich,0.786,4.5,$$,2.0,100.4,"breakfast_brunch,bagels,bakeries",40.75532,-73.98949,https://www.yelp.com/biz/bts-bagel-to-sandwich-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
AC Hotel New York Times Square,5,Maiz,0.782,4.2,$$,2.0,41.7,mexican,40.755414979327306,-73.99069290204672,https://www.yelp.com/biz/maiz-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Aloft Manhattan Downtown - Financial District,1,Lil Chef Mama,0.932,4.5,$$,2.0,115.3,thai,40.7086823,-74.0051718664848,https://www.yelp.com/biz/lil-chef-mama-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Aloft Manhattan Downtown - Financial District,2,Kesté Pizza & Vino,0.912,4.2,$$,2.0,111.4,"pizza,italian,wine_bars",40.709135,-74.004645,https://www.yelp.com/biz/kest%C3%A9-pizza-and-vino-new-york-5?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Aloft Manhattan Downtown - Financial District,3,Rosella's Pizzeria,0.873,3.4,$,1.0,50.2,"pizza,italian",40.710117,-74.005661,https://www.yelp.com/biz/rosellas-pizzeria-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Aloft Manhattan Downtown - Financial District,4,Solace,0.828,5.0,,,73.7,"italian,pizza",40.7105,-74.00809,https://www.yelp.com/biz/solace-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Aloft Manhattan Downtown - Financial District,5,Teriyaki on Wheels,0.826,5.0,,,82.0,"japanese,foodtrucks",40.709001391467964,-74.00518342758907,https://www.yelp.com/biz/teriyaki-on-wheels-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Aloft New York Brooklyn,1,Avere Ristorante,0.867,3.6,$$$,3.0,120.6,italian,40.6915079,-73.9849649,https://www.yelp.com/biz/avere-ristorante-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Aloft New York Brooklyn,2,Hibachi King Express,0.796,2.5,$,1.0,99.4,"japanese,sushi",40.691662,-73.986492,https://www.yelp.com/biz/hibachi-king-express-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Aloft New York Brooklyn,3,Bread & Spread,0.782,4.4,$$,2.0,89.4,"coffee,breakfast_brunch,sandwiches",40.69175403159706,-73.98514841880406,https://www.yelp.com/biz/bread-and-spread-brooklyn-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Aloft New York Brooklyn,4,Nan Xiang Express,0.769,4.2,$$,2.0,87.3,"shanghainese,dimsum,noodles",40.691816,-73.986564,https://www.yelp.com/biz/nan-xiang-express-brooklyn-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Aloft New York Brooklyn,5,Sound + Fury Brewery and Kitchen,0.763,4.1,$$,2.0,83.2,"pizza,brewpubs",40.69165,-73.98603,https://www.yelp.com/biz/sound-fury-brewery-and-kitchen-brooklyn-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,1,Gu Japanese Fusion Sushi & Bar,0.912,3.9,$$,2.0,38.2,"japanese,sushi,bars",40.75743,-73.97042,https://www.yelp.com/biz/gu-japanese-fusion-sushi-and-bar-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,2,Nippon,0.905,3.8,$$$,3.0,38.2,"sushi,japanese,desserts",40.75743,-73.97042,https://www.yelp.com/biz/nippon-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,3,Nare Sushi,0.896,3.8,$$$,3.0,68.2,"sushi,japanese,cocktailbars",40.75719922066617,-73.96918797126257,https://www.yelp.com/biz/nare-sushi-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,4,Sushi Jun,0.826,2.8,$,1.0,69.0,"japanese,korean",40.75722,-73.96919,https://www.yelp.com/biz/sushi-jun-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,5,52nd and Lexington Breakfast Cart,0.822,5.0,$,1.0,95.3,"coffee,breakfast_brunch",40.757865,-73.970748,https://www.yelp.com/biz/52nd-and-lexington-breakfast-cart-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/SoHo,1,Bar Mutsumi,0.818,5.0,,,109.7,"japanese,whiskeybars,wine_bars",40.72663,-74.00626,https://www.yelp.com/biz/bar-mutsumi-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/SoHo,2,Banaro,0.803,5.0,,,167.3,"fooddeliveryservices,italian",40.72626,-74.00496,https://www.yelp.com/biz/banaro-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/SoHo,3,Miomio,0.798,4.7,,,108.6,"desserts,japanese,breakfast_brunch",40.72669555101995,-74.0064252,https://www.yelp.com/biz/miomio-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/SoHo,4,MakiMaki Sushi,0.783,4.4,,,85.1,"sushi,japanese,catering",40.72766470000001,-74.0067845,https://www.yelp.com/biz/makimaki-sushi-new-york-6?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/SoHo,5,Port Sa'id,0.762,4.1,$$$,3.0,85.3,"mediterranean,vinyl_records,tapasmallplates",40.72767644691845,-74.0067845,https://www.yelp.com/biz/port-said-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Times Square West,1,Azuki,0.83,3.0,$$,2.0,105.2,"japanese,sushi,salad",40.75357639508275,-73.99227161605849,https://www.yelp.com/biz/azuki-new-york-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Times Square West,2,Ninjaki,0.819,5.0,,,107.1,"japanese,foodtrucks,halal",40.755335,-73.993192,https://www.yelp.com/biz/ninjaki-new-york-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Times Square West,3,Carmen's Kitchen,0.787,4.3,$$,2.0,46.1,"chickenshop,latin",40.7547995,-73.9921988,https://www.yelp.com/biz/carmens-kitchen-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Times Square West,4,KPOT Korean BBQ & Hot Pot,0.784,4.3,$$$,3.0,56.2,"korean,bbq,hotpot",40.755,-73.99256,https://www.yelp.com/biz/kpot-korean-bbq-and-hot-pot-new-york-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Times Square West,5,Ramini Espresso Bar & Cafe,0.781,4.4,$,1.0,92.1,"coffee,cafes",40.7536963373423,-73.9910175651312,https://www.yelp.com/biz/ramini-espresso-bar-and-cafe-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
