city,borough,neighborhood,brand,hotel_name,address,lat,lon,source_url
New York,Manhattan,Times Square,Marriott Hotels & Resorts,New York Marriott Marquis,"1535 Broadway, New York, NY 10036",40.758617,-73.986221,
New York,Manhattan,Midtown East,Courtyard by Marriott,Courtyard New York Manhattan/Midtown East,"866 3rd Ave, New York, NY 10022",40.7574548,-73.9699241,
New York,Manhattan,Financial District,Marriott Hotels & Resorts,New York Marriott Downtown,"85 West St, New York, NY 10006",40.7095189,-74.0146033,
New York,Manhattan,Times Square,Moxy (Marriott),Moxy NYC Times Square,"485 7th Ave, New York, NY 10018",40.752407,-73.98943,
New York,Manhattan,Central Park South,Residence Inn by Marriott,Residence Inn New York Manhattan/Central Park,"1717 Broadway, New York, NY 10019",40.76442,-73.98275,
New York,Manhattan,Garment District,Courtyard by Marriott,Courtyard New York Manhattan/Times Square West,"307 W 37th St, New York, NY 10018",40.7544949,-73.9925695,
New York,Manhattan,Times Square South,Fairfield Inn & Suites by Marriott,Fairfield Inn & Suites New York Manhattan/Times Square South,"338 W 36th St, New York, NY 10018",40.754011,-73.993972,
New York,Manhattan,Central Park South,JW Marriott,JW Marriott Essex House New York,"160 Central Park S, New York, NY 10019",,,
New York,Manhattan,Midtown West,Renaissance,Renaissance New York Midtown Hotel,"218 W 35th St, New York, NY 10001",,,
New York,Manhattan,SoHo,Courtyard by Marriott,Courtyard New York Manhattan/SoHo,"181 Varick St, New York, NY 10014",,,
New York,Manhattan,East Village,Moxy (Marriott),Moxy NYC East Village,"112 E 11th St, New York, NY 10003",,,
New York,Manhattan,Times Square,Residence Inn by Marriott,Residence Inn New York Manhattan/Times Square,"1033 6th Ave, New York, NY 10018",,,
New York,Manhattan,Chelsea/NoMad,Fairfield Inn & Suites by Marriott,Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,"325 W 33rd St, New York, NY 10001",,,
New York,Manhattan,Midtown West,SpringHill Suites by Marriott,SpringHill Suites New York Midtown Manhattan/Fifth Avenue,"25 W 37th St, New York, NY 10018",,,
New York,Manhattan,Times Square,AC Hotels by Marriott,AC Hotel New York Times Square,"260 W 40th St, New York, NY 10018",,,
New York,Manhattan,Chelsea/NoMad,Ritz-Carlton,"The Ritz-Carlton New York, NoMad","25 W 28th St, New York, NY 10001",,,
New York,Manhattan,Flatiron,EDITION,The New York EDITION,"5 Madison Ave, New York, NY 10010",,,
New York,Manhattan,Upper East Side,Courtyard by Marriott,Courtyard New York Manhattan/Upper East Side,"410 E 92nd St, New York, NY 10128",,,
New York,Manhattan,Chelsea/NoMad,Moxy (Marriott),Moxy NYC Chelsea,"105 W 28th St, New York, NY 10001",,,
New York,Manhattan,Financial District,Aloft (Marriott),Aloft Manhattan Downtown - Financial District,"49-53 Ann St, New York, NY 10038",,,
New York,Manhattan,Tribeca,Sheraton,Sheraton Tribeca New York Hotel,"370 Canal St, New York, NY 10013",,,
New York,Manhattan,Times Square,Four Points by Sheraton,Four Points by Sheraton Midtown - Times Square,"326 W 40th St, New York, NY 10018",,,
New York,Manhattan,Union Square,W Hotels,W New York - Union Square,"201 Park Ave S, New York, NY 10003",,,
New York,Brooklyn,Downtown Brooklyn,Marriott Hotels & Resorts,New York Marriott at the Brooklyn Bridge,"333 Adams St, Brooklyn, NY 11201",40.693355,-73.988205,
New York,Brooklyn,Boerum Hill,Fairfield Inn & Suites by Marriott,Fairfield Inn & Suites New York Brooklyn,"181 3rd Ave, Brooklyn, NY 11217",40.680703,-73.98305,
New York,Brooklyn,Boerum Hill,TownePlace Suites by Marriott,TownePlace Suites by Marriott New York Brooklyn,"561 President St, Brooklyn, NY 11215",40.679814,-73.981703,
New York,Brooklyn,Downtown Brooklyn,Aloft (Marriott),Aloft New York Brooklyn,"216 Duffield St, Brooklyn, NY 11201",40.692387,-73.985803,
New York,Brooklyn,Downtown Brooklyn,Sheraton (Marriott),Sheraton Brooklyn New York Hotel,"228 Duffield St, Brooklyn, NY 11201",40.692787,-73.986332,
New York,Brooklyn,Williamsburg,Moxy (Marriott),Moxy Brooklyn Williamsburg,"353 Bedford Ave, Brooklyn, NY 11211",40.71078,-73.96351,
New York,Staten Island,Travis/Chelsea,Fairfield Inn & Suites by Marriott,Fairfield Inn & Suites New York Staten Island,"290 Wild Avenue, Staten Island, NY 10314",40.609092,-74.14032,
New York,Queens,Fresh Meadows,Courtyard by Marriott,Courtyard New York Queens/Fresh Meadows,"183-15 Horace Harding Expressway, Fresh Meadows, NY 11365",,,
New York,Queens,Jamaica/JFK area,Courtyard by Marriott,Courtyard by Marriott New York Queens/Jamaica,"148-18 Archer Avenue, Jamaica, New York, USA, 11435",,,
New York,Queens,Fresh Meadows,Fairfield Inn & Suites by Marriott,Fairfield Inn & Suites New York Queens/ Fresh Meadows,"183-31 Horace Harding Expressway, Fresh Meadows, New York, USA, 11365",,,
New York,Queens,East Elmhurst/ near LGA,Marriott Hotels & Resorts,New York LaGuardia Airport Marriott,"102-05 Ditmars Blvd, East Elmhurst, Queens, NY 11369",,,
New York,Queens,Queens,SpringHill Suites by Marriott,SpringHill Suites New York Queens,"38-39 9th Street, Long Island City, New York, USA, 11101",,,
NewYork,Bronx,Eastchester/Metro Center Atrium,Residence Inn by Marriott,Residence Inn New York The Bronx at Metro Center Atrium,"1776 Eastchester Rd, Bronx, NY 10461",,,
